index,GRID_ID,score_lu,score_emp,score_est,score_ind,score_fac,fq
101,DY-88,0.0,0.0,0.0,0.0,0.0,0.0
102,DZ-88,0.0,0.0,0.0,0.0,0.0,0.0
103,EA-88,0.0,0.0,0.0,0.0,0.0,0.0
104,CB-87,0.0,1.0,1.0,1.0,0.0,1.25
105,CH-87,0.0,1.0,1.0,0.0,0.0,0.75
106,CI-87,0.0,1.0,1.0,1.0,0.0,1.25
107,CK-87,0.0,1.0,1.0,0.0,0.0,0.75
108,CL-87,0.0,1.0,1.0,0.0,0.0,0.75
109,CM-87,0.0,1.0,1.0,0.0,0.0,0.75
110,CN-87,0.0,1.0,0.0,0.0,0.0,0.5
111,CO-87,0.0,0.0,0.0,0.0,0.0,0.0
112,DP-87,0.0,1.0,1.0,0.0,0.0,0.75
113,DQ-87,0.0,0.0,0.0,0.0,0.0,0.0
114,DR-87,0.0,0.0,0.0,0.0,0.0,0.0
115,DS-87,0.0,0.0,0.0,0.0,0.0,0.0
116,DT-87,0.0,0.0,0.0,0.0,0.0,0.0
117,DU-87,0.0,0.0,0.0,0.0,0.0,0.0
118,DV-87,0.0,1.0,1.0,0.0,0.0,0.75
119,DY-87,0.0,0.0,0.0,0.0,0.0,0.0
120,DZ-87,0.0,0.0,0.0,0.0,0.0,0.0
121,EA-87,0.0,0.0,0.0,0.0,0.0,0.0
122,EB-87,0.0,0.0,0.0,0.0,0.0,0.0
123,BZ-86,0.0,0.0,0.0,0.0,0.0,0.0
124,CA-86,0.0,1.0,1.0,0.0,0.0,0.75
125,CB-86,0.0,1.0,1.0,0.0,0.0,0.75
126,CH-86,0.0,1.0,1.0,0.0,0.0,0.75
127,CI-86,0.0,1.0,1.0,0.0,0.0,0.75
128,CJ-86,0.0,0.0,0.0,0.0,0.0,0.0
129,CK-86,0.0,0.0,0.0,0.0,0.0,0.0
130,CL-86,0.0,0.0,0.0,0.0,0.0,0.0
131,CM-86,0.0,0.0,0.0,0.0,0.0,0.0
132,CN-86,0.0,1.0,1.0,0.0,0.0,0.75
133,CO-86,0.0,0.0,0.0,0.0,0.0,0.0
134,DN-86,0.0,0.0,0.0,0.0,0.0,0.0
135,DO-86,0.0,0.0,0.0,0.0,0.0,0.0
136,DR-86,0.0,0.0,0.0,0.0,0.0,0.0
137,DS-86,0.0,0.0,0.0,0.0,0.0,0.0
138,DT-86,0.0,0.0,0.0,0.0,0.0,0.0
139,DU-86,0.0,0.0,0.0,0.0,0.0,0.0
140,DV-86,0.0,0.0,0.0,0.0,0.0,0.0
141,DW-86,0.0,1.0,1.0,0.0,0.0,0.75
142,DZ-86,0.0,1.0,0.0,0.0,0.0,0.5
143,EA-86,0.0,1.0,0.0,0.0,0.0,0.5
144,BZ-85,0.0,0.0,0.0,0.0,0.0,0.0
145,CA-85,0.0,1.0,1.0,0.0,0.0,0.75
146,CR-85,0.0,0.0,0.0,0.0,0.0,0.0
147,DL-85,0.0,0.0,0.0,0.0,0.0,0.0
148,DM-85,0.0,0.0,0.0,0.0,0.0,0.0
149,DN-85,0.0,0.0,0.0,0.0,0.0,0.0
150,DO-85,0.0,0.0,0.0,0.0,0.0,0.0
151,DX-85,0.0,1.0,1.0,0.0,0.0,0.75
152,DY-85,1.0,0.0,0.0,0.0,0.0,0.3
153,DZ-85,0.0,0.0,0.0,0.0,0.0,0.0
154,BY-84,0.0,0.0,0.0,0.0,0.0,0.0
155,BZ-84,1.0,0.0,0.0,0.0,0.0,0.3
156,CB-84,2.0,1.0,1.0,0.0,0.0,1.35
157,CC-84,0.0,1.0,1.0,0.0,0.0,0.75
158,CD-84,0.0,1.0,1.0,0.0,0.0,0.75
159,CF-84,1.0,1.0,1.0,0.0,0.0,1.05
160,CG-84,0.0,1.0,1.0,0.0,0.0,0.75
161,CJ-84,2.0,1.0,0.0,0.0,0.0,1.1
162,CM-84,0.0,1.0,1.0,0.0,0.0,0.75
163,CN-84,0.0,1.0,1.0,1.0,0.0,1.25
164,CO-84,0.0,1.0,1.0,0.0,0.0,0.75
165,CQ-84,1.0,1.0,1.0,0.0,0.0,1.05
166,CR-84,1.0,0.0,0.0,0.0,0.0,0.3
167,DY-84,0.0,0.0,0.0,0.0,0.0,0.0
168,DZ-84,0.0,0.0,0.0,0.0,0.0,0.0
169,EA-84,0.0,1.0,0.0,0.0,0.0,0.5
170,EB-84,0.0,0.0,0.0,0.0,0.0,0.0
171,CA-83,1.0,1.0,1.0,0.0,0.0,1.05
172,CB-83,1.0,1.0,1.0,0.0,0.0,1.05
173,CC-83,1.0,0.0,0.0,0.0,0.0,0.3
174,CD-83,0.0,1.0,1.0,0.0,0.0,0.75
175,CE-83,1.0,1.0,1.0,0.0,0.0,1.05
176,CF-83,1.0,1.0,1.0,0.0,0.0,1.05
177,CG-83,1.0,1.0,1.0,0.0,0.0,1.05
178,CH-83,0.0,1.0,1.0,0.0,0.0,0.75
179,CI-83,1.0,0.0,0.0,0.0,0.0,0.3
180,CJ-83,1.0,1.0,1.0,0.0,0.0,1.05
181,CK-83,0.0,1.0,1.0,0.0,0.0,0.75
182,CM-83,0.0,0.0,0.0,0.0,0.0,0.0
183,CN-83,0.0,1.0,1.0,1.0,0.0,1.25
184,CQ-83,0.0,2.0,1.0,1.0,0.0,1.75
185,CR-83,1.0,0.0,0.0,0.0,0.0,0.3
186,CS-83,0.0,1.0,1.0,0.0,0.0,0.75
187,CT-83,0.0,0.0,0.0,0.0,0.0,0.0
188,EA-83,0.0,0.0,0.0,0.0,0.0,0.0
189,BZ-82,1.0,1.0,1.0,0.0,0.0,1.05
190,CA-82,1.0,1.0,1.0,0.0,0.0,1.05
191,CF-82,0.0,1.0,1.0,0.0,0.0,0.75
192,CG-82,0.0,1.0,1.0,0.0,0.0,0.75
193,CJ-82,0.0,0.0,0.0,0.0,0.0,0.0
194,CK-82,0.0,1.0,1.0,0.0,0.0,0.75
195,CL-82,0.0,1.0,1.0,0.0,0.0,0.75
196,CM-82,0.0,1.0,1.0,1.0,0.0,1.25
197,CQ-82,0.0,0.0,0.0,0.0,0.0,0.0
198,CR-82,1.0,0.0,0.0,0.0,0.0,0.3
199,CS-82,0.0,0.0,0.0,0.0,0.0,0.0
200,DP-85,0.0,0.0,0.0,0.0,0.0,0.0
201,DQ-85,0.0,0.0,0.0,0.0,0.0,0.0
202,DR-85,0.0,0.0,0.0,0.0,0.0,0.0
203,DS-85,0.0,1.0,0.0,0.0,0.0,0.5
204,DT-85,0.0,0.0,0.0,0.0,0.0,0.0
205,DU-85,0.0,1.0,1.0,0.0,0.0,0.75
206,DV-85,0.0,0.0,0.0,0.0,0.0,0.0
207,DW-85,0.0,1.0,0.0,0.0,0.0,0.5
208,EA-85,0.0,0.0,0.0,0.0,0.0,0.0
209,EB-85,0.0,0.0,0.0,0.0,0.0,0.0
210,BX-84,0.0,0.0,0.0,0.0,0.0,0.0
211,CA-84,0.0,1.0,1.0,0.0,0.0,0.75
212,CE-84,0.0,1.0,1.0,0.0,0.0,0.75
213,CH-84,0.0,1.0,1.0,0.0,0.0,0.75
214,CI-84,0.0,1.0,1.0,0.0,0.0,0.75
215,CK-84,0.0,0.0,0.0,0.0,0.0,0.0
216,CL-84,0.0,1.0,1.0,0.0,0.0,0.75
217,CP-84,0.0,0.0,0.0,0.0,0.0,0.0
218,CS-84,0.0,0.0,0.0,0.0,0.0,0.0
219,DH-84,0.0,0.0,0.0,0.0,0.0,0.0
220,DI-84,0.0,0.0,0.0,0.0,0.0,0.0
221,DJ-84,0.0,0.0,0.0,0.0,0.0,0.0
222,DL-84,0.0,1.0,0.0,0.0,0.0,0.5
223,DM-84,0.0,1.0,1.0,0.0,0.0,0.75
224,DN-84,0.0,0.0,0.0,0.0,0.0,0.0
225,DO-84,0.0,0.0,0.0,0.0,0.0,0.0
226,DP-84,0.0,0.0,0.0,0.0,0.0,0.0
227,DQ-84,0.0,1.0,1.0,0.0,0.0,0.75
228,DR-84,0.0,0.0,0.0,0.0,0.0,0.0
229,DS-84,0.0,0.0,0.0,0.0,0.0,0.0
230,DT-84,0.0,1.0,1.0,0.0,0.0,0.75
231,DU-84,0.0,1.0,1.0,0.0,0.0,0.75
232,DV-84,0.0,1.0,1.0,0.0,0.0,0.75
233,DW-84,0.0,0.0,0.0,0.0,0.0,0.0
234,DX-84,0.0,0.0,0.0,0.0,0.0,0.0
235,BW-83,0.0,0.0,0.0,0.0,0.0,0.0
236,BX-83,0.0,0.0,0.0,0.0,0.0,0.0
237,BY-83,0.0,0.0,0.0,0.0,0.0,0.0
238,BZ-83,0.0,1.0,1.0,0.0,0.0,0.75
239,CL-83,0.0,1.0,1.0,0.0,0.0,0.75
240,CO-83,0.0,0.0,0.0,0.0,0.0,0.0
241,CP-83,0.0,0.0,0.0,0.0,0.0,0.0
242,DH-83,0.0,0.0,0.0,0.0,0.0,0.0
243,DI-83,0.0,0.0,0.0,0.0,0.0,0.0
244,DJ-83,0.0,0.0,0.0,0.0,0.0,0.0
245,DK-83,0.0,0.0,0.0,0.0,0.0,0.0
246,DL-83,0.0,0.0,0.0,0.0,0.0,0.0
247,DM-83,0.0,0.0,0.0,0.0,0.0,0.0
248,DN-83,0.0,0.0,0.0,0.0,0.0,0.0
249,DO-83,0.0,0.0,0.0,0.0,0.0,0.0
250,DP-83,0.0,0.0,0.0,0.0,0.0,0.0
251,DQ-83,0.0,0.0,0.0,0.0,0.0,0.0
252,DR-83,0.0,0.0,0.0,0.0,0.0,0.0
253,DS-83,0.0,0.0,0.0,0.0,0.0,0.0
254,DT-83,0.0,0.0,0.0,0.0,0.0,0.0
255,DU-83,0.0,0.0,0.0,0.0,0.0,0.0
256,DV-83,0.0,0.0,0.0,0.0,0.0,0.0
257,DW-83,0.0,0.0,0.0,0.0,0.0,0.0
258,DX-83,0.0,0.0,0.0,0.0,0.0,0.0
259,DY-83,0.0,0.0,0.0,0.0,0.0,0.0
260,DZ-83,0.0,0.0,0.0,0.0,0.0,0.0
261,EB-83,0.0,0.0,0.0,0.0,0.0,0.0
262,BV-82,0.0,0.0,0.0,0.0,0.0,0.0
263,BW-82,0.0,0.0,0.0,0.0,0.0,0.0
264,BX-82,0.0,1.0,1.0,0.0,0.0,0.75
265,BY-82,0.0,1.0,0.0,0.0,0.0,0.5
266,CB-82,0.0,1.0,1.0,0.0,0.0,0.75
